"","Features","L1","L2","Win1","Win2","WeightedWin1","WeightedWin2","Prediction"
"72","ConsumerElectronics+Nightlife","42.119790911068","55.4183717862739","7","7","8","8","215.938082635118"
"73","Education+Nightlife","52.826797857482","67.7103961184806","8","3","9","6","180.355604717056"
"74","Finance+Nightlife","56.5785264200261","67.6058567660414","5","3","8","7","145.197009725986"
"75","Flight+Nightlife","48.8112875839236","64.8766612574398","7","4","8","7","168.824682705967"
"76","Health+Nightlife","54.7785664119276","67.8735596490443","4","3","7","7","177.044319133276"
"77","Hotel+Nightlife","60.0126504961137","76.6233823094469","4","3","6","6","207.346552188377"
"78","Jobs+Nightlife","48.0466164217313","62.9762547508664","6","6","7","7","207.169701350641"
"79","Nutrition","57.1284823825506","69.2520146045851","4","4","7","7","180.263470394215"
"80","Autos+Nutrition","46.4085059551822","60.3725777839308","7","6","8","8","175.57329752529"
"81","Bus+Nutrition","46.5741024195863","61.7238608735537","2","4","3","5","196.233258425324"
"82","ClothesAndShoes+Nutrition","54.8478072106879","66.463299548412","5","3","7","7","189.769302973288"
"83","Commerce+Nutrition","50.7196160207076","63.9259501364539","6","5","7","7","210.95284271428"
"84","ConsumerElectronics+Nutrition","43.2649591682673","57.7306266429818","7","7","8","8","191.090039429874"
"85","Education+Nutrition","53.0325988393315","67.7455243217821","8","3","9","6","180.109295553594"
"86","Finance+Nutrition","60.7947007597654","71.3929935901132","4","3","7","7","176.678770214228"
"87","Flight+Nutrition","56.4284558827947","68.5457502153001","4","4","7","7","171.73624604439"
"88","Health+Nutrition","54.6866863366363","66.9161616110895","5","4","7","7","190.942867210554"
"89","Hotel+Nutrition","47.8818588542987","65.9477148946935","5","5","7","7","163.416798329263"
"90","Jobs+Nutrition","47.0146821625505","62.1802151743906","7","5","8","7","194.623682985606"
"91","Nightlife+Nutrition","51.7254423375263","65.535408070098","7","4","8","7","160.849490336952"
"92","RealEstate","53.2055447861982","66.5781190132809","5","5","7","7","179.304216805121"
"93","Autos+RealEstate","50.7571426888875","63.9836620588476","7","5","8","7","183.527196643891"
"94","Bus+RealEstate","40.4776842491696","56.6766105723801","5","6","5","6","208.039268074513"
"95","ClothesAndShoes+RealEstate","54.9780920208078","67.6258234871221","5","4","7","7","184.226343846474"
"96","Commerce+RealEstate","52.1465495506574","65.4721176582348","5","4","7","7","205.474004132567"
"97","ConsumerElectronics+RealEstate","46.8933248150951","60.8150464726809","7","6","8","8","194.911700433976"
"98","Education+RealEstate","51.8230707407175","67.1332157027217","7","3","8","6","181.865590991085"
"99","Finance+RealEstate","57.7619465143388","70.6414189014063","4","3","7","6","149.946495087098"
"100","Flight+RealEstate","53.6722338723133","67.3735986047483","5","4","7","7","180.676561781598"
"101","Health+RealEstate","55.8761036488618","68.7909342759274","5","4","7","7","178.44326903831"
"102","Hotel+RealEstate","52.2619980712231","67.0979399492498","6","4","8","7","181.44398493015"
"103","Jobs+RealEstate","47.2620518665816","62.1943357225255","6","5","7","7","201.133142602725"
"104","Nightlife+RealEstate","53.4547854434957","66.7572968655585","6","4","8","7","178.28492920235"
"105","Nutrition+RealEstate","53.6631399659791","66.7919281013154","6","4","8","7","177.802400277562"
"106","Restaurant","51.100681628931","64.3704548185729","6","5","8","7","182.04702246374"
"107","Autos+Restaurant","50.2033836552572","62.5584239589391","6","5","8","7","181.458988961513"
"108","Bus+Restaurant","46.0191845400795","61.7165093700383","4","4","5","5","204.403997673889"
"109","ClothesAndShoes+Restaurant","58.1743420813562","69.0893882748646","5","3","7","7","180.468735164994"
"110","Commerce+Restaurant","51.9311437292573","65.9193564329266","6","5","7","7","209.130997536332"
"111","ConsumerElectronics+Restaurant","43.8117271504484","57.6893197476579","7","7","8","8","198.631637483197"
"112","Education+Restaurant","51.9708482549807","67.1099946006904","8","4","9","6","183.161940805431"
"113","Finance+Restaurant","53.3933550634522","64.5004955029707","5","4","8","7","129.291790992312"
"114","Flight+Restaurant","47.8419217442365","61.7640896849162","7","6","8","7","194.74632974559"
"115","Health+Restaurant","52.0608486016518","66.0042229371966","5","5","8","7","161.845799678111"
"116","Hotel+Restaurant","61.0759448794087","76.8737299010844","5","3","8","6","175.733348198009"
"117","Jobs+Restaurant","48.0989657276021","63.872192821351","6","6","7","7","200.364708780467"
"118","Nightlife+Restaurant","51.1651511602749","64.2773774700644","7","5","8","7","189.542994175026"
"119","Nutrition+Restaurant","49.8194391269596","63.4986649657059","7","5","8","7","177.107230467232"
"120","RealEstate+Restaurant","53.2517466915767","66.2775893232422","6","5","8","7","181.750033460543"
"121","Sports","50.6087050743629","62.981841078675","6","4","8","7","189.800803252928"
"122","Autos+Sports","67.852800336394","77.3762866677504","3","2","6","7","172.903066342525"
"123","Bus+Sports","42.2208658451864","61.873773763359","6","6","7","7","189.373083627878"
"124","ClothesAndShoes+Sports","51.4841961239345","66.2964777157334","6","4","8","7","190.278490859506"
"125","Commerce+Sports","54.5569082356258","67.2707521077826","4","5","5","6","220.396831629545"
"126","ConsumerElectronics+Sports","47.7849076998561","60.0126026578509","6","5","8","8","185.101783309135"
"127","Education+Sports","56.5990520262899","71.4066832742672","4","3","5","6","186.189307478015"
"128","Finance+Sports","50.4115911238913","61.2211269404827","5","4","8","7","154.64019021883"
"129","Flight+Sports","62.6563520140561","72.4768362397446","5","2","7","7","195.992698762227"
"130","Health+Sports","65.1300861091494","74.1266163022259","4","2","5","6","189.145080995668"
"131","Hotel+Sports","69.1686453000512","80.9978971327052","3","2","6","6","172.045816220471"
"132","Jobs+Sports","52.7308123171358","67.5591636627939","5","4","6","7","192.099483197738"
"133","Nightlife+Sports","66.6529564640183","76.9286881611947","5","2","7","7","183.390283699109"
"134","Nutrition+Sports","57.5446526638324","68.9639937749198","5","2","7","7","189.746924879437"
"135","RealEstate+Sports","61.4319250741143","73.3600840785103","5","2","7","6","182.531789616822"
"136","Restaurant+Sports","66.9659570489451","80.5415077322675","5","3","7","7","180.50339333973"
"137","TravelGuide","53.3456709080932","66.9842784691745","6","4","8","7","179.744626727081"
"138","Autos+TravelGuide","49.2913186085048","62.8192510871311","6","5","8","7","182.442499620718"
"139","Bus+TravelGuide","42.9692999345234","56.8836547045988","6","6","7","6","207.162093043587"
"140","ClothesAndShoes+TravelGuide","54.2378792513853","67.2848794196444","5","4","7","7","186.685264144395"
"141","Commerce+TravelGuide","51.1762487128968","64.9754422632547","6","5","7","7","209.867737343496"
"142","ConsumerElectronics+TravelGuide","45.1766395280685","59.4922759746378","7","6","8","8","195.666548323994"
"143","Education+TravelGuide","52.8540937062567","67.4890492438028","7","3","8","6","182.299533886888"
"144","Finance+TravelGuide","56.1614899288794","68.5196257223174","6","2","9","6","154.897095076967"
"145","Flight+TravelGuide","52.8305366569264","68.113755273002","6","3","7","6","183.738323809646"
"146","Health+TravelGuide","54.5761445766383","68.2973450947562","5","2","8","6","182.818394346599"
"147","Hotel+TravelGuide","54.1894351659764","67.3960491639956","5","4","8","7","174.711154737323"
"148","Jobs+TravelGuide","46.351945038071","60.8969947887839","7","6","8","7","204.007824358475"
"149","Nightlife+TravelGuide","53.2217804435388","67.1004989130233","6","4","8","7","176.901033692787"
"150","Nutrition+TravelGuide","53.3804051195711","67.1126374159105","7","4","8","7","177.072231883767"
"151","RealEstate+TravelGuide","53.7684941640091","66.9986916404144","5","4","7","7","179.382962311817"
"152","Restaurant+TravelGuide","51.9792731125548","65.8914902032104","6","5","8","7","182.026641058719"
"153","Sports+TravelGuide","59.9347237202414","72.1640932785499","5","2","7","6","186.204035673775"
"154","University","46.7904323704194","62.2695490034545","7","5","8","7","202.299074903165"
"155","Autos+University","46.5368093981093","62.8642570887075","7","5","8","7","202.909078802124"
"156","Bus+University","43.9187265624421","61.7447121417989","4","6","5","6","189.075663929351"
"157","ClothesAndShoes+University","50.1608133957587","67.0184685836931","6","5","7","7","202.788651866961"
"158","Commerce+University","51.9489532766958","66.1077422109774","7","5","8","7","198.472747297582"
"159","ConsumerElectronics+University","46.9881309068807","62.6878398546428","6","6","7","8","199.182300128294"
"160","Education+University","41.4927644894433","54.70502452928","7","5","8","7","240.394850430183"
"161","Finance+University","47.2654657167626","61.7287552815785","6","3","8","7","164.689101612817"
"162","Flight+University","46.3580325809869","61.1440976075026","5","5","6","7","226.564828841702"
"163","Health+University","46.1420099661486","62.1638978382944","5","5","7","7","200.559200118331"
"164","Hotel+University","53.5057377082764","68.1965671795232","6","3","8","6","193.918313798879"
"165","Jobs+University","49.4542080958376","63.9083763476666","7","5","8","7","200.896649755841"
"166","Nightlife+University","47.253459598964","61.8518899392581","6","4","7","6","224.632860307951"
"167","Nutrition+University","46.3589697960648","60.3751312964182","5","5","6","7","205.56914125604"
"168","RealEstate+University","46.9135953134145","61.7875354159517","7","5","8","7","209.340066572457"
"169","Restaurant+University","46.3691628247114","62.8639831230256","6","4","7","6","212.820694724807"
"170","Sports+University","54.3356729507252","70.2902456590453","5","5","6","7","203.431622268316"
"171","TravelGuide+University","46.4755616446675","60.3435350199206","7","5","8","7","214.687849299054"
"172","OneMonthBefore","46.7328902323088","62.3098415197512","5","6","7","9","178.935001793458"
"173","OneMonthBefore+Autos","41.7495516832476","57.068651241511","9","5","10","7","195.881804425034"
"174","OneMonthBefore+Bus","40.7893787945712","58.6944242246091","5","7","6","7","205.651507527333"
"175","OneMonthBefore+Autos+Bus","43.0798287103052","60.9167813537418","4","6","6","7","206.790749101404"
"176","OneMonthBefore+ClothesAndShoes","42.0331195746374","57.3594647165616","7","5","8","7","200.48143362069"
"177","OneMonthBefore+Autos+ClothesAndShoes","47.9953961671554","60.726813991294","6","4","8","7","184.867090607717"
"178","OneMonthBefore+Bus+ClothesAndShoes","42.7854845131846","61.3968845072063","6","6","7","7","192.59611457679"
"179","OneMonthBefore+Commerce","44.2390990393017","58.2477305829102","5","4","7","6","212.543821989262"
"180","OneMonthBefore+Autos+Commerce","45.389218322159","60.5607550964407","6","5","8","8","195.522114110457"
"181","OneMonthBefore+Bus+Commerce","38.0654380399308","57.8013941486121","8","7","9","8","164.892574698586"
"182","OneMonthBefore+ClothesAndShoes+Commerce","47.4663023440447","61.1381450419641","4","4","6","6","215.450874795608"
"183","OneMonthBefore+ConsumerElectronics","41.8598721415864","56.100640611892","6","5","8","7","200.122140130052"
"184","OneMonthBefore+Autos+ConsumerElectronics","45.4715073449803","60.3415845363204","6","5","8","7","197.092968875718"
"185","OneMonthBefore+Bus+ConsumerElectronics","45.4344908318299","63.3123958375184","4","6","5","7","200.672281328552"
"186","OneMonthBefore+ClothesAndShoes+ConsumerElectronics","43.5526699466968","55.4414152202036","6","5","8","7","190.71652337055"
"187","OneMonthBefore+Commerce+ConsumerElectronics","42.1948414215751","57.3533132243757","6","5","8","7","191.933950820884"
"188","OneMonthBefore+Education","44.7306362204724","60.8925428503561","6","4","7","6","192.283591144174"
"189","OneMonthBefore+Autos+Education","41.2181266435079","57.2711819919078","8","5","10","7","194.38234229346"
"190","OneMonthBefore+Bus+Education","42.6115053669918","54.2745749671","3","4","6","4","207.558973200768"
"191","OneMonthBefore+ClothesAndShoes+Education","43.7142223739996","60.3994033258336","7","4","8","6","199.902233297167"
"192","OneMonthBefore+Commerce+Education","45.9198313907757","59.6479472960427","6","4","8","6","219.339662047269"
"193","OneMonthBefore+ConsumerElectronics+Education","41.9535054425139","57.041205984032","6","4","8","6","201.464755699602"
"194","OneMonthBefore+Finance","46.8697389471016","61.4142723420209","6","5","7","7","201.2201195741"
"195","OneMonthBefore+Autos+Finance","41.1140213605552","56.4335017621584","6","5","9","8","164.235217147054"
"196","OneMonthBefore+Bus+Finance","37.8643171723706","57.0773527335005","7","7","9","7","176.125904090925"
"197","OneMonthBefore+ClothesAndShoes+Finance","40.309318660389","55.9591259366337","7","5","9","7","175.219589405053"
"198","OneMonthBefore+Commerce+Finance","42.8618998231134","57.1197973567201","6","4","9","6","187.563928522245"
"199","OneMonthBefore+ConsumerElectronics+Finance","40.5541830056048","54.542762079378","6","6","9","8","173.051603190985"
"200","OneMonthBefore+Education+Finance","44.2049177889348","61.3301461119755","5","4","7","6","176.050636794311"
"201","OneMonthBefore+Flight","43.6573831010187","59.2766319434549","6","5","7","7","188.693101073034"
"202","OneMonthBefore+Autos+Flight","37.6587327793255","52.417306374531","7","6","8","7","212.452624529437"
"203","OneMonthBefore+Bus+Flight","47.7461900775307","61.7370249344836","3","4","5","5","213.983041854084"
"204","OneMonthBefore+ClothesAndShoes+Flight","46.9522023904122","60.3999020211668","6","5","8","7","198.582844433988"
"205","OneMonthBefore+Commerce+Flight","46.433463813385","60.0054352971091","5","5","7","7","213.390298101092"
"206","OneMonthBefore+ConsumerElectronics+Flight","43.6837596304956","56.5859468454601","5","5","7","7","206.172732157084"
"207","OneMonthBefore+Education+Flight","43.4517659191716","60.5382692650947","7","4","8","6","190.163644867222"
"208","OneMonthBefore+Finance+Flight","43.9735692613981","59.5592099058389","5","5","7","8","171.565134967584"
"209","OneMonthBefore+Health","43.8638889876171","58.6751430224384","7","5","8","7","201.985701347417"
"210","OneMonthBefore+Autos+Health","41.9674733279816","57.6648951311217","7","5","9","8","175.26238093072"
"211","OneMonthBefore+Bus+Health","40.4079409665777","58.1438460047137","6","6","8","6","191.763530982147"
"212","OneMonthBefore+ClothesAndShoes+Health","45.0940896021545","59.1564133375555","7","5","8","7","201.487614152817"
"213","OneMonthBefore+Commerce+Health","45.8474651838272","59.3996052546971","6","4","8","6","215.179713184745"
"214","OneMonthBefore+ConsumerElectronics+Health","41.4635130409419","55.6469545820016","6","5","8","7","194.093748711051"
"215","OneMonthBefore+Education+Health","43.8666986090983","60.1841366256445","6","4","7","6","201.697692024118"
"216","OneMonthBefore+Finance+Health","41.9843930520819","57.0253327036698","6","4","9","7","163.258729601881"
"217","OneMonthBefore+Flight+Health","45.2054292326394","59.5646201866591","6","5","7","7","200.01589200524"
"218","OneMonthBefore+Hotel","43.1516197265218","60.3238177028482","6","4","7","6","193.567483393716"
"219","OneMonthBefore+Autos+Hotel","49.1076559189003","66.4574361296243","4","3","6","6","194.219612906615"
"220","OneMonthBefore+Bus+Hotel","43.3060230174696","58.2688872091415","5","5","6","5","211.437170532019"
"221","OneMonthBefore+ClothesAndShoes+Hotel","54.7743024883437","69.2446003892344","5","4","7","7","186.239887059085"
"222","OneMonthBefore+Commerce+Hotel","54.4307106930122","69.65285769014","6","4","8","7","193.307760497608"
"223","OneMonthBefore+ConsumerElectronics+Hotel","52.7844269988044","68.49418411556","5","3","7","6","195.376534842905"
"224","OneMonthBefore+Education+Hotel","44.4567514001768","61.7982787436305","8","5","10","7","188.804020004908"
"225","OneMonthBefore+Finance+Hotel","44.7991028181971","61.7197864830205","6","4","8","7","167.090766283899"
"226","OneMonthBefore+Flight+Hotel","50.0126563142914","69.3493067516842","5","5","7","7","199.458407962622"
"227","OneMonthBefore+Health+Hotel","49.6470280860599","67.825326795328","6","4","8","7","180.064362749846"
"228","OneMonthBefore+Jobs","43.0051374769853","58.4418485770654","6","4","8","6","201.69783521133"
"229","OneMonthBefore+Autos+Jobs","44.2741092842447","60.6170238057449","7","6","8","8","196.606497627484"
"230","OneMonthBefore+Bus+Jobs","38.9506961434558","57.2867967293535","6","7","6","7","197.531129836878"
"231","OneMonthBefore+ClothesAndShoes+Jobs","44.006908766027","59.8691939904585","6","4","8","6","200.712788717702"
"232","OneMonthBefore+Commerce+Jobs","43.5580165962303","58.7650471011463","5","4","7","6","201.795578054797"
"233","OneMonthBefore+ConsumerElectronics+Jobs","42.5940896177821","58.4180570982683","6","4","8","6","201.18050243178"
"234","OneMonthBefore+Education+Jobs","43.5880932889862","57.8072336911111","6","4","8","6","206.615342066677"
"235","OneMonthBefore+Finance+Jobs","42.3516578918121","58.1751183077981","5","4","8","7","176.300975435567"
"236","OneMonthBefore+Flight+Jobs","45.1432084826332","60.4196804203952","5","4","7","6","208.525396442369"
"237","OneMonthBefore+Health+Jobs","43.2506857530082","59.7949206933091","6","4","8","6","196.698296261924"
"238","OneMonthBefore+Hotel+Jobs","50.2554922216845","66.6192579428128","6","5","8","8","194.442844613802"
"239","OneMonthBefore+Nightlife","43.3238137264924","59.4461832490706","7","5","8","7","187.284508429126"
"240","OneMonthBefore+Autos+Nightlife","39.3697551887753","52.9020565155431","6","6","8","7","215.17131766523"
"241","OneMonthBefore+Bus+Nightlife","48.48505386541","62.5621805370982","4","4","6","5","219.288407517224"
"242","OneMonthBefore+ClothesAndShoes+Nightlife","50.0057189488154","63.7391432320215","6","4","8","7","198.906563228966"
"243","OneMonthBefore+Commerce+Nightlife","46.4770008858649","60.8568566806491","4","6","7","8","214.519041731817"
"244","OneMonthBefore+ConsumerElectronics+Nightlife","44.2330002764663","57.4086392547853","6","5","8","7","211.703911695015"
"245","OneMonthBefore+Education+Nightlife","43.1260985500268","60.5336263784685","7","4","8","6","188.710359710533"
"246","OneMonthBefore+Finance+Nightlife","43.5130771423969","59.7110219399678","7","5","9","8","166.878360897444"
"247","OneMonthBefore+Flight+Nightlife","43.0763873427872","59.6261179247811","7","5","8","7","187.549654202698"
"248","OneMonthBefore+Health+Nightlife","44.5565954385981","59.9476757828588","7","5","9","7","198.07294342258"
"249","OneMonthBefore+Hotel+Nightlife","53.4459117266788","72.5727531006791","5","5","7","7","209.465646512255"
"250","OneMonthBefore+Jobs+Nightlife","43.9938844455334","59.6287561187123","6","4","8","6","206.24435125659"
"251","OneMonthBefore+Nutrition","44.7784845146279","60.2546867775173","7","5","8","7","195.942715755287"
"252","OneMonthBefore+Autos+Nutrition","42.1186109219223","56.2949717389384","6","5","8","7","190.260543244713"
"253","OneMonthBefore+Bus+Nutrition","43.8519841210354","59.4962453971859","4","6","5","6","200.33315309752"
"254","OneMonthBefore+ClothesAndShoes+Nutrition","45.9216948974256","60.1488708386416","6","5","8","7","200.568966435778"
"255","OneMonthBefore+Commerce+Nutrition","46.174568302879","59.9977916326897","6","5","8","7","212.439505017554"
"256","OneMonthBefore+ConsumerElectronics+Nutrition","43.8730320725156","57.3232995855009","6","5","8","7","198.883165477472"
"257","OneMonthBefore+Education+Nutrition","44.578613032024","61.1334646774614","7","4","8","6","194.735489419019"
"258","OneMonthBefore+Finance+Nutrition","45.8525628344885","61.0132757292675","6","5","8","8","188.76566839535"
"259","OneMonthBefore+Flight+Nutrition","43.8073769979884","59.7640410061543","8","5","9","7","188.809883079408"
"260","OneMonthBefore+Health+Nutrition","44.8556530917625","59.6650506739337","7","5","8","7","201.865721128905"
"261","OneMonthBefore+Hotel+Nutrition","44.9488244999904","62.406306961324","5","5","8","6","178.596336147926"
"262","OneMonthBefore+Jobs+Nutrition","44.5205267437396","59.4980935569229","5","4","7","6","201.072486255959"
"263","OneMonthBefore+Nightlife+Nutrition","43.8608773845435","59.8119594541118","7","5","9","7","185.74373360149"
"264","OneMonthBefore+RealEstate","44.567075432542","60.2447142337803","5","4","6","6","194.970323536312"
"265","OneMonthBefore+Autos+RealEstate","43.7138141076183","59.8146779236196","6","4","8","6","196.247176644112"
"266","OneMonthBefore+Bus+RealEstate","38.9411335053095","56.2450543207623","7","6","7","6","208.404366109395"
"267","OneMonthBefore+ClothesAndShoes+RealEstate","48.1478092404885","62.557788353146","4","3","6","6","194.201967562074"
"268","OneMonthBefore+Commerce+RealEstate","47.7340545590085","61.8775978374586","4","3","7","6","198.886253417752"
"269","OneMonthBefore+ConsumerElectronics+RealEstate","45.6075373949503","60.6165424477246","4","4","7","6","198.71198749512"
"270","OneMonthBefore+Education+RealEstate","45.8189087738549","60.012303279936","5","3","8","6","193.28325602303"
"271","OneMonthBefore+Finance+RealEstate","46.6724896828383","62.4366712469071","5","3","8","6","165.507724630022"
"272","OneMonthBefore+Flight+RealEstate","46.1797472762211","61.7047401266491","4","3","7","6","196.216234078671"
"273","OneMonthBefore+Health+RealEstate","47.5357053094192","62.7717176432994","5","3","7","6","188.728791545197"
"274","OneMonthBefore+Hotel+RealEstate","44.375471841833","61.3043496176212","6","4","7","6","194.121198710611"
"275","OneMonthBefore+Jobs+RealEstate","46.5680799231387","61.4450021382728","4","3","7","6","198.237536733525"
"276","OneMonthBefore+Nightlife+RealEstate","45.7987145118184","60.9930848081938","3","4","6","6","196.36455087426"
"277","OneMonthBefore+Nutrition+RealEstate","45.6027654734194","60.6004550775846","3","4","6","6","193.160240327483"
"278","OneMonthBefore+Restaurant","42.6187290272624","58.223666208303","8","5","9","7","195.407389660317"
"279","OneMonthBefore+Autos+Restaurant","41.8858450412267","56.9086173529329","8","5","9","7","194.185625960751"
"280","OneMonthBefore+Bus+Restaurant","42.8998587159199","60.2326940973542","3","6","5","6","206.006421013028"
"281","OneMonthBefore+ClothesAndShoes+Restaurant","48.5162707362537","62.8812682814677","6","5","7","7","191.525605879968"
"282","OneMonthBefore+Commerce+Restaurant","46.9542553824103","61.8524345016178","6","5","7","8","204.993538702849"
"283","OneMonthBefore+ConsumerElectronics+Restaurant","44.365723359882","58.7840305816683","7","5","9","7","200.630669921833"
"284","OneMonthBefore+Education+Restaurant","42.0901460946671","58.6964591172682","8","4","10","6","195.019959924057"
"285","OneMonthBefore+Finance+Restaurant","41.4517400458644","57.0145098901265","6","4","9","7","150.838951882835"
"286","OneMonthBefore+Flight+Restaurant","42.8601934697723","57.6568976460763","8","5","9","7","201.173614372157"
"287","OneMonthBefore+Health+Restaurant","41.3490384908689","58.9055169396293","8","6","9","8","179.327213275732"
