candidate,MonthId,Label,OneMonthBefore,NumTweets_FullMonth,NormalizedNumTweets_FullMonth,NumTweetsText_FullMonth,NormalizedNumTweetsText_FullMonth,NumTweetsTitle_FullMonth,NormalizedNumTweetsTitle_FullMonth,NumTweetsVerified_FullMonth,NormalizedNumTweetsVerified_FullMonth,NumTweets_HalfMonth,NormalizedNumTweets_HalfMonth,NumTweetsText_HalfMonth,NormalizedNumTweetsText_HalfMonth,NumTweetsTitle_HalfMonth,NormalizedNumTweetsTitle_HalfMonth,NumTweetsVerified_HalfMonth,NormalizedNumTweetsVerified_HalfMonth,NumTweets_LastWeek,NormalizedNumTweets_LastWeek,NumTweetsText_LastWeek,NormalizedNumTweetsText_LastWeek,NumTweetsTitle_LastWeek,NormalizedNumTweetsTitle_LastWeek,NumTweetsVerified_LastWeek,NormalizedNumTweetsVerified_LastWeek
job posting,201201,133188,132828,865963,1.726205355,794358,1.583468386,71605,0.14273697,2458,0.004899762,580859,2.139971927,538363,1.983410271,42496,0.156561656,2173,0.008005659,201850,1.478191458,178577,1.307758217,23273,0.170433242,1270,0.009300486
job posting,201202,133414,133188,675346,1.257585407,556768,1.036777166,118578,0.220808241,1914,0.003564126,315383,1.174615175,260398,0.969828565,54985,0.20478661,1150,0.00428307,87546,0.76189896,64640,0.562551673,22906,0.199347287,379,0.003298377
job posting,201203,133657,133414,2692925,4.326477397,2588765,4.15913301,104160,0.167344388,1983,0.003185906,2337207,7.156964638,2278387,6.976846805,58820,0.180117833,1083,0.003316348,1879137,11.31873871,1855847,11.1784544,23290,0.140284303,508,0.003059872
job posting,201204,133753,133657,950284,1.363982673,730671,1.048762879,219613,0.315219794,2455,0.003523765,334587,0.935889367,213813,0.598066611,120774,0.337822756,1174,0.003283852,141818,0.825209331,101438,0.590246542,40380,0.234962789,594,0.003456362
job posting,201205,133863,133753,1755401,2.294716821,1354892,1.771158535,400509,0.523558286,2765,0.003614497,1207712,2.992786359,1117557,2.769376594,90155,0.223409765,837,0.002074139,565629,2.7413936,520915,2.524681455,44714,0.216712144,319,0.001546074
job posting,201206,133951,133863,592252,0.647107992,405051,0.442567926,187201,0.204540066,1693,0.00184981,249926,0.531284942,148261,0.315168637,101665,0.216116305,1048,0.002227806,109086,0.50573487,67018,0.310702927,42068,0.195031943,417,0.001933259
job posting,201207,134111,133951,2687716,2.503251404,1461457,1.361153592,1226259,1.142097812,2081,0.001938176,2311437,4.037656122,1184622,2.069317169,1126815,1.968338952,1160,0.002026307,145293,0.497025571,77327,0.264524074,67966,0.232501497,792,0.002709313
job posting,201208,134261,134111,549200,0.461190159,420526,0.353136295,128674,0.108053865,3596,0.003019737,248568,0.400766165,166914,0.269115428,81654,0.131650737,1852,0.002985979,131099,0.423918773,85164,0.275384392,45935,0.148534381,801,0.002590096
job posting,201209,134422,134261,2929389,2.369400215,2672972,2.162000482,256417,0.207399732,5506,0.00445346,298486,0.473276463,174387,0.276506311,124099,0.196770153,1518,0.002406926,140152,0.478075038,81040,0.276437019,59112,0.201638019,810,0.002763006
job posting,201210,134647,134422,2062999,1.453730409,1695106,1.194487801,367893,0.259242608,5749,0.004051139,634995,0.832818556,516615,0.67755897,118380,0.155259586,3325,0.004360856,268645,0.689361844,216410,0.555323184,52235,0.13403866,727,0.001865533
job posting,201211,134850,134647,1139109,0.523227421,938604,0.431129374,200505,0.092098047,3065,0.001407848,281695,0.227323347,186575,0.150563033,95120,0.076760314,1199,0.000967574,146184,0.233862969,98570,0.157690806,47614,0.076172162,713,0.001140647
job posting,201212,135064,134850,378413,0.01389988,217953,0.008005857,160460,0.005894022,3099,0.000113833,143025,0.00559599,73900,0.002891408,69125,0.002704582,1088,4.26E-05,58997,0.002419514,28855,0.001183367,30142,0.001236147,595,2.44E-05
job posting,201301,135261,135064,506114,0.000294334,274623,0.000159709,231491,0.000134625,4147,2.41E-06,240540,0.000270839,130140,0.000146533,110400,0.000124306,2493,2.81E-06,110636,0.000251175,63175,0.000143425,47461,0.00010775,1237,2.81E-06
job posting,201302,135541,135261,418655,0.000269,243893,0.00015671,174762,0.000112291,10334,6.64E-06,203491,0.000282496,121140,0.000168172,82351,0.000114324,3446,4.78E-06,89924,0.000324514,58302,0.000210398,31622,0.000114116,949,3.42E-06
job posting,201303,135682,135541,400444,0.000243051,255717,0.000155208,144727,8.78E-05,3973,2.41E-06,186543,0.000222493,117275,0.000139876,69268,8.26E-05,1720,2.05E-06,80430,0.000196962,47694,0.000116796,32736,8.02E-05,1000,2.45E-06
job posting,201304,135885,135682,421733,0.000243878,255167,0.000147557,166566,9.63E-05,4015,2.32E-06,222343,0.00024991,136406,0.000153318,85937,9.66E-05,2000,2.25E-06,98437,0.00024205,61796,0.000151952,36641,9.01E-05,1211,2.98E-06
