"candidate"	"NumTweets_w4"	"NumPositive_w4"	"NumNegative_w4"	"NumNeutral_w4"	"NumDistinctTweets_w4"	"NumDistinctUsers_w4"	"NumPopularTweets_w4"	"NumVerifiedTweets_w4"	"NumTweets_w5"	"NumPositive_w5"	"NumNegative_w5"	"NumNeutral_w5"	"NumDistinctTweets_w5"	"NumDistinctUsers_w5"	"NumPopularTweets_w5"	"NumVerifiedTweets_w5"
"adorn-song of the year"	268	109	10	149	229	218	29	0	334	131	14	189	284	271	38	0
"lonely boy-best rock song"	4	4	0	0	3	3	1	0	7	7	0	0	5	4	2	0
"babel-album of the year"	225	127	13	85	185	179	15	0	255	143	13	99	211	205	18	0
"lonely boy-record of the year"	30	11	10	9	30	29	0	0	21	7	9	5	20	20	1	0
"based on a t.r.u. story-best rap album"	94	83	6	5	91	87	3	1	332	314	15	3	257	250	36	1
"lotus flower bomb-best rap song"	21	19	0	2	15	15	2	0	18	15	0	3	14	14	1	0
"blown away-best country song"	6	6	0	0	6	6	0	0	7	7	0	0	7	7	0	0
"madness-best rock song"	13	13	0	0	12	12	1	0	16	15	1	0	15	15	1	0
"blunderbuss-album of the year"	167	82	1	84	132	132	5	0	97	51	6	40	94	94	3	0
"mercy-best rap song"	49	45	4	0	42	42	6	0	44	42	2	0	37	37	6	0
"call me maybe-best pop solo performance"	15	13	1	1	9	9	1	0	3	2	1	0	3	3	0	0
"niggas in paris-best rap song"	25	24	1	0	24	23	1	0	17	16	1	0	17	17	0	0
"call me maybe-song of the year"	669	253	71	345	559	546	47	37	1957	1393	104	460	738	724	61	1131
"overexposed-best pop vocal album"	61	61	0	0	11	11	4	0	52	52	0	0	11	11	3	0
"ceremonials-best pop vocal album"	5	5	0	0	5	5	0	0	5	5	0	0	5	5	0	0
"payphone-best pop duo/group performance"	63	63	0	0	13	13	4	0	51	51	0	0	10	10	3	0
"channel orange-album of the year"	887	484	86	317	761	740	69	12	1408	873	110	425	1205	1173	100	42
"refill-best r&b song"	1	1	0	0	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"daughters-best rap song"	24	23	0	1	23	23	1	0	22	21	0	1	21	21	1	0
"set fire to the rain (live)-best pop solo performance"	127	122	2	3	18	18	2	0	127	123	2	2	17	17	3	0
"el camino-album of the year"	167	33	4	130	145	142	10	10	140	30	5	105	117	115	11	10
"sexy and i know it-best pop duo/group performance"	2	2	0	0	2	2	0	0	2	2	0	0	2	2	0	0
"even if it breaks your heart-best country song"	5	3	2	0	4	4	1	0	6	5	1	0	5	5	1	0
"shake it out-best pop duo/group performance"	2	2	0	0	2	2	0	0	3	3	0	0	3	3	0	0
"food & liquor ii-best rap album"	20	19	1	0	18	16	1	0	23	20	3	0	23	21	0	0
"so you don't have to love me anymore-best country song"	2	2	0	0	2	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"frank ocean-best new artist"	73	72	0	1	70	69	3	0	80	78	1	1	76	75	4	0
