"candidate"	"NumTweets_w4"	"NumPositive_w4"	"NumNegative_w4"	"NumNeutral_w4"	"NumDistinctTweets_w4"	"NumDistinctUsers_w4"	"NumPopularTweets_w4"	"NumVerifiedTweets_w4"	"NumTweets_w5"	"NumPositive_w5"	"NumNegative_w5"	"NumNeutral_w5"	"NumDistinctTweets_w5"	"NumDistinctUsers_w5"	"NumPopularTweets_w5"	"NumVerifiedTweets_w5"
"0 to 100/the catch up-best rap song"	37	34	3	0	20	19	5	0	278	277	1	0	39	38	9	217
"my everything-best pop vocal album"	51	49	0	2	27	27	5	0	44	42	1	1	22	22	4	0
"12 stories-best country album"	10	10	0	0	3	3	3	6	5	5	0	0	3	3	1	0
"new flame-best r&b song"	2	2	0	0	2	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"ain't it fun-best rock song"	2979	2979	0	0	107	106	6	0	2998	2998	0	0	125	125	7	0
"nobody's smiling-best rap album"	214	213	1	0	55	52	12	142	38	33	5	0	30	29	6	0
"all about that bass-record of the year"	985	48	13	924	124	113	11	828	976	40	10	926	119	108	10	828
"oxymoron-best rap album"	100	91	8	1	75	74	21	0	115	103	11	1	90	89	21	0
"all about that bass-song of the year"	84	31	20	33	66	66	11	0	100	44	27	29	79	77	13	0
"platinum-best country album"	1	1	0	0	1	1	0	0	18	18	0	0	7	7	2	0
"all of me (live version)-best pop solo performance"	14	14	0	0	9	8	1	0	15	15	0	0	10	9	1	0
"prism-best pop vocal album"	43	38	5	0	25	25	7	0	35	32	3	0	26	26	7	0
"american kids-best country song"	13	13	0	0	9	9	3	0	15	15	0	0	11	11	3	0
"riser-best country album"	9	9	0	0	5	5	1	0	6	6	0	0	6	6	0	0
"anaconda-best rap song"	155	153	2	0	69	67	16	0	165	161	4	0	79	76	17	0
"sam smith-best new artist"	594	181	2	411	140	137	28	376	624	208	3	413	144	137	27	376
"automatic-best country song"	8	8	0	0	5	5	1	0	6	6	0	0	3	3	1	0
"shake it off-best pop solo performance"	11	7	3	1	8	8	2	0	9	8	0	1	8	8	1	0
"bangerz-best pop vocal album"	372	365	1	6	102	42	20	0	51	47	1	3	35	34	6	0
"shake it off-record of the year"	1000	59	10	931	133	127	13	828	1006	65	5	936	144	138	12	828
"bastille-best new artist"	73	70	1	2	42	42	7	0	75	72	1	2	42	42	8	0
"shake it off-song of the year"	1522	161	25	1336	320	316	42	1112	1799	433	29	1337	342	337	49	1328
"because the internet-best rap album"	214	205	9	0	81	79	21	0	93	84	9	0	73	72	16	0
"stay with me (darkchild version)-record of the year"	55	16	2	37	50	49	2	0	65	16	2	47	62	61	3	0
"beyoncé-album of the year"	1752	689	275	788	574	545	111	232	1525	478	265	782	610	585	97	289
"stay with me (darkchild version)-song of the year"	138	52	13	73	95	93	17	0	186	71	11	104	137	134	24	2
"blacc hollywood-best rap album"	26	25	1	0	19	19	5	0	17	16	1	0	14	14	3	0
"stay with me-best pop solo performance"	5	5	0	0	4	4	1	0	11	11	0	0	6	6	3	0
"blue moon-best rock song"	2	2	0	0	2	2	0	0	3	3	0	0	2	2	1	0
"take me to church-song of the year"	1374	56	10	1308	219	215	28	1112	1399	51	13	1335	245	240	29	1110
"bound 2-best rap song"	13	12	1	0	13	12	0	0	15	13	2	0	15	14	0	0
"the marshall mathers lp 2-best rap album"	820	808	12	0	135	131	27	239	747	733	14	0	150	147	36	239
"brandy clark-best new artist"	451	51	0	400	44	43	7	382	448	48	0	400	43	42	7	376
"the new classic-best rap album"	871	833	37	1	284	268	63	0	1040	974	65	1	338	321	85	10
"chandelier-best pop solo performance"	7	7	0	0	7	7	0	0	13	13	0	0	8	8	2	0
"the outsiders-best country album"	8	7	0	1	7	7	1	0	6	6	0	0	5	5	1	0
"chandelier-record of the year"	68	27	8	33	54	53	5	0	63	28	8	27	55	54	6	0
"the way i'm livin'-best country album"	3	3	0	0	2	2	1	0	5	5	0	0	4	4	1	0
"chandelier-song of the year"	1505	94	35	1376	294	285	33	1115	1559	138	35	1386	307	296	39	1113
"we dem boyz-best rap song"	170	169	1	0	19	19	3	151	12	11	1	0	12	12	0	0
"drunk in love-best r&b song"	2	2	0	0	2	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"x-album of the year"	1212	423	34	755	443	429	108	224	1241	747	17	477	453	443	119	104
"fancy-record of the year"	84	54	6	24	47	47	7	0	93	58	7	28	59	59	7	0
"x-best pop vocal album"	19	17	2	0	14	14	3	0	17	16	1	0	14	14	2	0
"fever-best rock song"	8	8	0	0	8	8	0	0	10	10	0	0	10	9	0	0
"ghost stories-best pop vocal album"	20	17	1	2	17	17	3	0	26	21	2	3	23	23	3	0
"gimme something good-best rock song"	4	4	0	0	1	1	1	0	4	4	0	0	1	1	1	0
"girl-album of the year"	422	211	9	202	221	198	24	9	437	228	8	201	235	211	25	7
"give me back my hometown-best country song"	5	5	0	0	3	3	1	0	3	3	0	0	1	1	1	0
"good kisser-best r&b song"	2	2	0	0	2	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA
"haim-best new artist"	66	65	1	0	35	35	5	0	67	65	2	0	35	35	5	0
"happy (live version)-best pop solo performance"	5	5	0	0	3	3	1	3	5	5	0	0	3	3	1	3
"i'm not gonna missing you-best country song"	4	4	0	0	3	2	1	0	1	1	0	0	1	1	0	0
"i-best rap song"	308	292	15	1	240	226	32	0	311	296	11	4	235	232	31	0
"iggy azalea-best new artist"	115	111	3	1	43	42	9	0	190	186	3	1	84	83	13	0
"in the lonely hour-album of the year"	1041	397	42	602	370	356	56	239	622	88	25	509	342	334	42	216
