	NumTweets_w4	NumDistinctTweets_w4	NumDistinctUsers_w4	PositiveRatio_w4	NonNegativeRatio_w4	NormalizedNumTweets_w4	NormalizedNumDistinctTweets_w4	NormalizedNumDistinctUsers_w4	NumTweets_w5	NumDistinctTweets_w5	NumDistinctUsers_w5	PositiveRatio_w5	NonNegativeRatio_w5	NormalizedNumTweets_w5	NormalizedNumDistinctTweets_w5	NormalizedNumDistinctUsers_w5
best pop duo/group performance	3	3	3	4	1	4	4	4	3	3	3	4	1	4	4	4
best pop solo performance	0	0	0	3	2	3	4	4	0	0	0	3	2	3	4	3
best rap song	2	2	2	1	1	5	5	5	2	2	2	1	2	5	5	5
best country album	1	1	1	3	1	2	2	2	1	1	1	2	2	3	3	3
best rap album	4	4	4	0	4	1	1	1	4	4	4	0	4	3	3	3
album of the year	1	1	1	4	0	2	2	2	1	1	1	4	0	2	2	2
song of the year	0	0	0	3	1	1	2	2	0	0	0	3	1	1	2	2
record of the year	0	0	0	3	2	2	3	3	0	0	0	3	2	2	2	2
best new artist	3	3	3	2	1	3	3	3	3	3	3	2	2	4	4	4
best pop vocal album	1	1	1	4	1	2	3	3	1	1	1	4	0	2	2	2
best r&b song	0	0	0	1	3	4	4	4	0	0	0	1	3	3	3	3
best country song	0	0	0	3	4	1	1	4	0	0	0	3	4	1	1	3
best rock song	1	1	1	3	3	0	0	0	1	1	1	2	3	0	0	0
