MonthId,Autos,Bus,ClothesAndShoes,Commerce,ConsumerElectronics,Education,Finance,Flight,Health,Hotel,Jobs,Nightlife,Nutrition,RealEstate,Restaurant,Sports,TravelGuide,University
201004,123538.3,7.797150754,10.50652018,14.54866324,10.28233247,10.11999151,11.78524844,9.513235142,11.86724885,10.29109245,10.92710525,8.772395098,5.053832705,8.521969367,10.48878529,9.739281907,9.986275105,9.843245389
201005,122261.8,7.656154558,10.57121897,14.5170886,10.239998,10.13071874,11.85791844,9.485137793,11.83019668,10.38800103,10.88663624,8.732757694,4.988109482,8.493490284,10.46007132,9.78012542,9.953829369,9.836917636
201006,121901.6,7.91101972,10.42097245,14.49850184,10.35061654,10.25009256,11.86662418,9.403638136,11.76144666,10.41125801,10.91958977,8.785599474,5.211953053,8.373096236,10.47084473,9.926961374,10.16992467,9.900948331
201007,104376.6,8.203515338,10.16697542,14.27499215,10.81038632,10.2901792,11.4925704,9.248607746,11.55560174,10.57914798,10.98628511,8.932674767,6.400895448,8.109398171,10.32150225,9.723074773,10.15904369,9.826280861
201008,109423.7,8.376328001,10.18664453,14.20272955,10.82470254,10.37774369,11.35907159,9.288610741,11.51064146,10.67064095,11.01272882,9.022932622,6.244088451,8.118050852,10.30022905,9.616219394,10.11487102,9.931561272
201009,107330.2,8.284269217,10.1893963,14.22362947,10.69951686,10.61036603,11.37232883,9.284441773,11.50919532,10.62274488,11.00679746,9.028986946,6.537837752,8.059738652,10.33786303,9.567245289,10.04679148,10.07602852
201010,101582.8,8.113000973,10.04559544,14.25885959,10.51203608,10.41892572,11.46959,9.19434025,11.55956952,10.46243998,10.8828605,8.878718812,6.370202307,7.99454563,10.20572025,9.615616796,9.969709656,9.845174413
201011,96332.39,7.953220626,10.00465825,14.25389709,10.41650697,10.32931951,11.52160866,9.138104139,11.58858195,10.39852977,10.72751364,8.835811564,6.131785464,7.921534906,10.2204245,9.619737739,9.907542321,9.824573125
201012,90832.43,7.910700658,10.09735182,14.23482071,10.55999227,10.29236077,11.5023937,9.097281746,11.54456075,10.29933321,10.66206333,8.756838871,6.112837575,7.819439015,10.16876641,9.592003104,9.79772918,9.789086292
201101,88146.34,7.85857342,10.24245988,14.24488618,10.51146457,10.17515266,11.4548029,9.014805422,11.43309602,10.24691164,10.40070774,8.7452485,6.09557791,7.658298345,10.19859821,9.608670084,9.741536697,9.632137386
